country,age,gender,smoker,state,simulated_deaths,simulated_population,simulated_rates
Germany (insured),22,F,No,Baden-Württemberg,16.86,79963.90748386063,2.1084512413807325e-4
Germany (insured),22,F,No,Bayern,20.56,94743.40078699417,2.1700719869897637e-4
Germany (insured),22,F,No,Berlin,5.56,26671.903705645047,0.00020845906094146696
Germany (insured),22,F,No,Brandenburg,3.92,18205.78954377411,2.1531612186193453e-4
Germany (insured),22,F,No,Bremen,0.98,4877.855759397778,2.009079497916501e-4
Germany (insured),22,F,No,Hamburg,2.7,13470.35498959996,2.0044015188052473e-4
Germany (insured),22,F,No,Hessen,9.34,45278.66719124007,2.0627815656656479e-4
Germany (insured),22,F,No,Mecklenburg-Vorpommern,2.3,11490.90051240394,2.0015837727576245e-4
Germany (insured),22,F,No,Niedersachsen,12.24,57557.89121768336,2.126554628922808e-4
Germany (insured),22,F,No,Nordrhein-Westfalen,27.88,128277.96716014827,2.173405193207754e-4
Germany (insured),22,F,No,Rheinland-Pfalz,5.96,29437.03721520291,2.0246602796431998e-4
Germany (insured),22,F,No,Saarland,1.74,7012.629460452499,2.4812376153804714e-4
Germany (insured),22,F,No,Sachsen,6.7,28838.72147267997,2.3232652690054821e-4
Germany (insured),22,F,No,Sachsen-Anhalt,3.58,15376.412759330766,2.3282413499387707e-4
Germany (insured),22,F,No,Schleswig-Holstein,4.18,20913.908028365007,1.9986699732688748e-4
Germany (insured),22,F,No,Thüringen,3.7,14966.602722731408,2.472170918508051e-4
Germany (insured),22,F,Yes,Baden-Württemberg,6.42,21000.622167478552,3.0570522857851216e-4
Germany (insured),22,F,Yes,Bayern,7.1,24882.10525719039,2.8534562998636353e-4
Germany (insured),22,F,Yes,Berlin,1.68,7004.742387341124,2.398375139442777e-4
Germany (insured),22,F,Yes,Brandenburg,1.42,4781.318466041685,2.969892112573662e-4
Germany (insured),22,F,Yes,Bremen,0.36,1281.0530277206287,2.810188120319626e-4
Germany (insured),22,F,Yes,Hamburg,0.96,3537.6689871676663,2.713651286997873e-4
Germany (insured),22,F,Yes,Hessen,3.16,11891.367141133758,2.657389989305062e-4
Germany (insured),22,F,Yes,Mecklenburg-Vorpommern,1.1,3017.8122557828524,3.645024629653936e-4
Germany (insured),22,F,Yes,Niedersachsen,4.48,15116.213855149168,2.963705093702375e-4
Germany (insured),22,F,Yes,Nordrhein-Westfalen,8.94,33689.163092564195,2.653672332386677e-4
Germany (insured),22,F,Yes,Rheinland-Pfalz,2.34,7730.9390666189465,3.0267991764464607e-4
Germany (insured),22,F,Yes,Saarland,0.76,1841.7006663814645,4.1266206494524016e-4
Germany (insured),22,F,Yes,Sachsen,2.32,7573.805639289689,3.063189247905735e-4
Germany (insured),22,F,Yes,Sachsen-Anhalt,1.08,4038.249815581816,2.674425925391636e-4
Germany (insured),22,F,Yes,Schleswig-Holstein,1.46,5492.54150239889,2.6581501466349213e-4
Germany (insured),22,F,Yes,Thüringen,1.44,3930.6229372829953,3.6635414359928047e-4
Germany (insured),22,M,No,Baden-Württemberg,59.08,80262.13472268116,7.360880719673241e-4
Germany (insured),22,M,No,Bayern,67.32,95096.7484872535,7.079106391216244e-4
Germany (insured),22,M,No,Berlin,19.66,26771.377186200345,7.343664042107629e-4
Germany (insured),22,M,No,Brandenburg,12.56,18273.688456133827,6.87327029250302e-4
Germany (insured),22,M,No,Bremen,3.16,4896.047835051204,6.454185307131405e-4
Germany (insured),22,M,No,Hamburg,10.16,13520.592989478735,7.514463313780812e-4
Germany (insured),22,M,No,Hessen,32.82,45447.535025727055,7.221513769981403e-4
Germany (insured),22,M,No,Mecklenburg-Vorpommern,7.92,11533.756091116962,6.866800318501451e-4
Germany (insured),22,M,No,Niedersachsen,42.52,57772.55470162637,7.359896099384889e-4
Germany (insured),22,M,No,Nordrhein-Westfalen,95.16,128756.38279979676,7.390701566070262e-4
Germany (insured),22,M,No,Rheinland-Pfalz,21.46,29546.823325011497,7.263048133446559e-4
Germany (insured),22,M,No,Saarland,5.4,7038.783223902396,7.671780516926004e-4
Germany (insured),22,M,No,Sachsen,20.38,28946.27615011551,7.040629300400933e-4
Germany (insured),22,M,No,Sachsen-Anhalt,10.76,15433.759445660537,6.971729757667926e-4
Germany (insured),22,M,No,Schleswig-Holstein,15.38,20991.906931126283,7.326633092677691e-4
Germany (insured),22,M,No,Thüringen,10.74,15022.421013069768,7.149313676308241e-4
Germany (insured),22,M,Yes,Baden-Württemberg,23.3,29685.995034416323,7.848818937343098e-4
Germany (insured),22,M,Yes,Bayern,26.98,35172.76998843622,7.670706631542024e-4
Germany (insured),22,M,Yes,Berlin,8.56,9901.742246950811,8.644943270095732e-4
Germany (insured),22,M,Yes,Brandenburg,5.4,6758.761483775527,7.989629480138858e-4
Germany (insured),22,M,Yes,Bremen,1.54,1810.867007484692,8.504213692307927e-4
Germany (insured),22,M,Yes,Hamburg,3.86,5000.767270081176,7.718815516758374e-4
Germany (insured),22,M,Yes,Hessen,13.56,16809.36226978946,8.066933047406944e-4
Germany (insured),22,M,Yes,Mecklenburg-Vorpommern,3.22,4265.909787125451,7.54821400517654e-4
Germany (insured),22,M,Yes,Niedersachsen,17.74,21367.931191012492,8.302160766720164e-4
Germany (insured),22,M,Yes,Nordrhein-Westfalen,36.58,47622.223775267295,7.681287663638651e-4
Germany (insured),22,M,Yes,Rheinland-Pfalz,9.04,10928.277120209734,8.272118194442808e-4
Germany (insured),22,M,Yes,Saarland,2.56,2603.385575963899,9.833349403313661e-4
Germany (insured),22,M,Yes,Sachsen,8.82,10706.156932234499,8.238250247803125e-4
Germany (insured),22,M,Yes,Sachsen-Anhalt,4.42,5708.376781271705,7.743006758946486e-4
Germany (insured),22,M,Yes,Schleswig-Holstein,6.52,7764.129960827529,8.3975925607833e-4
Germany (insured),22,M,Yes,Thüringen,4.08,5556.237908943614,7.343098094184586e-4
Germany (insured),23,F,No,Baden-Württemberg,15.54,78894.23297332796,1.9697257219363116e-4
Germany (insured),23,F,No,Bayern,19.82,93476.02148985959,2.120329864718312e-4
Germany (insured),23,F,No,Berlin,5.84,26315.114543646316,2.21925691803992e-4
Germany (insured),23,F,No,Brandenburg,4.18,17962.251307188708,2.3271025043097542e-4
Germany (insured),23,F,No,Bremen,1,4812.604846378852,2.0778768087565509e-4
Germany (insured),23,F,No,Hamburg,2.42,13290.162502344256,1.820895718598727e-4
Germany (insured),23,F,No,Hessen,9.58,44672.975977674294,2.1444732056327941e-4
Germany (insured),23,F,No,Mecklenburg-Vorpommern,1.96,11337.187121351028,1.7288238952224607e-4
Germany (insured),23,F,No,Niedersachsen,11.52,56787.94123583694,2.0285996902332003e-4
Germany (insured),23,F,No,Nordrhein-Westfalen,25.88,126561.99709250429,2.044847631559123e-4
Germany (insured),23,F,No,Rheinland-Pfalz,5.68,29043.258954916422,1.955703390179804e-4
Germany (insured),23,F,No,Saarland,1.5,6918.821751178531,2.1679991968928737e-4
Germany (insured),23,F,No,Sachsen,5.8,28452.946862029497,2.0384531796037298e-4
Germany (insured),23,F,No,Sachsen-Anhalt,3.3,15170.723001168242,2.1752424058799825e-4
Germany (insured),23,F,No,Schleswig-Holstein,4.88,20634.143381570047,2.3650121595833758e-4
Germany (insured),23,F,No,Thüringen,2.9,14766.394979694265,1.9639187519959213e-4
Germany (insured),23,F,Yes,Baden-Württemberg,5.72,20719.697548550776,2.7606580581578425e-4
Germany (insured),23,F,Yes,Bayern,6.88,24549.258169054036,2.802528676272872e-4
Germany (insured),23,F,Yes,Berlin,1.9,6911.04018317984,2.749224356449611e-4
Germany (insured),23,F,Yes,Brandenburg,1.12,4717.358929160671,2.3742098424536765e-4
Germany (insured),23,F,Yes,Bremen,0.44,1263.9164243015168,3.481242838055206e-4
Germany (insured),23,F,Yes,Hamburg,0.86,3490.3457076863697,2.4639393115304456e-4
Germany (insured),23,F,Yes,Hessen,3.4,11732.29672140941,2.8979833026176273e-4
Germany (insured),23,F,Yes,Mecklenburg-Vorpommern,0.72,2977.443082375017,2.418182245907712e-4
Germany (insured),23,F,Yes,Niedersachsen,4,14914.004769007677,2.6820428596833183e-4
Germany (insured),23,F,Yes,Nordrhein-Westfalen,8.92,33238.50428692032,2.6836345952877634e-4
Germany (insured),23,F,Yes,Rheinland-Pfalz,2.22,7627.522553816434,2.910512534491586e-4
Germany (insured),23,F,Yes,Saarland,0.4,1817.064298289311,2.2013530306912258e-4
Germany (insured),23,F,Yes,Sachsen,2.54,7472.491095078453,3.399134194583249e-4
Germany (insured),23,F,Yes,Sachsen-Anhalt,1.28,3984.2302831350935,3.212665707145821e-4
Germany (insured),23,F,Yes,Schleswig-Holstein,1.7,5419.067958796174,3.137070826433497e-4
Germany (insured),23,F,Yes,Thüringen,1.2,3878.0431259803117,3.094344134444502e-4
Germany (insured),23,M,No,Baden-Württemberg,55.78,79161.31250065796,7.046371294000005e-4
Germany (insured),23,M,No,Bayern,66.32,93792.46453893064,7.07093051942061e-4
Germany (insured),23,M,No,Berlin,19.2,26404.198727484294,7.271570782420525e-4
Germany (insured),23,M,No,Brandenburg,12.56,18023.05866164425,6.968850424223248e-4
Germany (insured),23,M,No,Bremen,3.36,4828.896889271664,6.958110883388078e-4
Germany (insured),23,M,No,Hamburg,9.36,13335.153500868382,7.019041812597416e-4
Germany (insured),23,M,No,Hessen,29.94,44824.20676931626,6.679426621888372e-4
Germany (insured),23,M,No,Mecklenburg-Vorpommern,7.8,11375.566740031723,6.856801228681683e-4
Germany (insured),23,M,No,Niedersachsen,40.2,56980.18464744902,7.055084192641299e-4
Germany (insured),23,M,No,Nordrhein-Westfalen,89.16,126990.44562527392,7.021000639929653e-4
Germany (insured),23,M,No,Rheinland-Pfalz,20.22,29141.57868731593,6.938539677948501e-4
Germany (insured),23,M,No,Saarland,4.62,6942.2439402707305,6.654908758247743e-4
Germany (insured),23,M,No,Sachsen,19.5,28549.26821927782,6.83029766305277e-4
Germany (insured),23,M,No,Sachsen-Anhalt,10.44,15222.080234462803,6.858458133970303e-4
Germany (insured),23,M,No,Schleswig-Holstein,15.14,20703.995854349298,7.312598063923749e-4
Germany (insured),23,M,No,Thüringen,10.38,14816.383447075374,7.005758211562029e-4
Germany (insured),23,M,Yes,Baden-Württemberg,21.96,29278.8416098324,7.500296730532334e-4
Germany (insured),23,M,Yes,Bayern,26.84,34690.36359659079,7.737018934744666e-4
Germany (insured),23,M,Yes,Berlin,7.14,9765.936515644875,7.311126780889712e-4
Germany (insured),23,M,Yes,Brandenburg,5.16,6666.062792662941,7.740701161230282e-4
Germany (insured),23,M,Yes,Bremen,1.38,1786.0303563059579,7.726632389688215e-4
Germany (insured),23,M,Yes,Hamburg,3.78,4932.180061965018,7.663953774011283e-4
Germany (insured),23,M,Yes,Hessen,13.04,16578.816202349848,7.865459053796456e-4
Germany (insured),23,M,Yes,Mecklenburg-Vorpommern,3.52,4207.401396998034,8.366209134482647e-4
Germany (insured),23,M,Yes,Niedersachsen,15.44,21074.86281480991,7.32626358504686e-4
Germany (insured),23,M,Yes,Nordrhein-Westfalen,35.6,46969.068929895846,7.579456184906526e-4
Germany (insured),23,M,Yes,Rheinland-Pfalz,8.68,10778.392117226438,8.053149213348151e-4
Germany (insured),23,M,Yes,Saarland,1.9,2567.679265579585,7.399678088575933e-4
Germany (insured),23,M,Yes,Sachsen,7.86,10559.318382472618,7.443662285102409e-4
Germany (insured),23,M,Yes,Sachsen-Anhalt,4.72,5630.084470280762,8.383533186607096e-4
Germany (insured),23,M,Yes,Schleswig-Holstein,6.14,7657.642302293577,8.018133725260292e-4
Germany (insured),23,M,Yes,Thüringen,4.5,5480.032233849795,8.211630530572063e-4
Germany (insured),24,F,No,Baden-Württemberg,16.04,80613.59152936917,1.9897389132149387e-4
Germany (insured),24,F,No,Bayern,18.22,95513.16401949948,1.9075904548906258e-4
Germany (insured),24,F,No,Berlin,5.46,26888.605350751564,2.0305999246805068e-4
Germany (insured),24,F,No,Brandenburg,3.7,18353.706414955817,2.015941584956919e-4
Germany (insured),24,F,No,Bremen,1.14,4917.486952555919,2.3182572948311986e-4
Germany (insured),24,F,No,Hamburg,2.98,13579.797799480726,2.194436208846903e-4
Germany (insured),24,F,No,Hessen,10.3,45646.543506963855,2.2564687725870478e-4
Germany (insured),24,F,No,Mecklenburg-Vorpommern,2.28,11584.26081665047,1.9681877299610473e-4
Germany (insured),24,F,No,Niedersachsen,11.1,58025.5327423899,1.9129509847465854e-4
Germany (insured),24,F,No,Nordrhein-Westfalen,25.4,129320.18922353402,1.9641171384380903e-4
Germany (insured),24,F,No,Rheinland-Pfalz,6.3,29676.20478501706,2.1229129687030422e-4
Germany (insured),24,F,No,Saarland,1.44,7069.605083841573,2.0368888826496009e-4
Germany (insured),24,F,No,Sachsen,6.32,29073.027896955773,2.173836183283051e-4
Germany (insured),24,F,No,Sachsen-Anhalt,2.62,15501.341747435896,1.6901762716336338e-4
Germany (insured),24,F,No,Schleswig-Holstein,4.28,21083.8275933638,2.0299919362588335e-4
Germany (insured),24,F,No,Thüringen,3.68,15088.202120639593,2.4389917172212456e-4
Germany (insured),24,F,Yes,Baden-Württemberg,5.78,21171.24626023837,2.7301179765007005e-4
Germany (insured),24,F,Yes,Bayern,7.12,25084.265298050363,2.838432744750707e-4
Germany (insured),24,F,Yes,Berlin,1.96,7061.653930500411,2.7755537432023493e-4
Germany (insured),24,F,Yes,Brandenburg,1.52,4820.165321099508,3.1534188118951883e-4
Germany (insured),24,F,Yes,Bremen,0.26,1291.461219863171,2.0132234402481458e-4
Germany (insured),24,F,Yes,Hamburg,1.16,3566.4115432979684,3.252569104594454e-4
Germany (insured),24,F,Yes,Hessen,3.34,11987.981123041012,2.786123839968757e-4
Germany (insured),24,F,Yes,Mecklenburg-Vorpommern,0.92,3042.3311235647698,3.0239969373288165e-4
Germany (insured),24,F,Yes,Niedersachsen,3.84,15239.028801031693,2.5198456214873936e-4
Germany (insured),24,F,Yes,Nordrhein-Westfalen,9.22,33962.87797789783,2.714728712331193e-4
Germany (insured),24,F,Yes,Rheinland-Pfalz,1.84,7793.750751620642,2.3608658509093175e-4
Germany (insured),24,F,Yes,Saarland,0.4,1856.6639614129383,2.1544017028024627e-4
Germany (insured),24,F,Yes,Sachsen,2.36,7635.340659806567,3.090890249891991e-4
Germany (insured),24,F,Yes,Sachsen-Anhalt,1.44,4071.059448821548,3.537162790429989e-4
Germany (insured),24,F,Yes,Schleswig-Holstein,1.64,5537.166842701604,2.9618034756558607e-4
Germany (insured),24,F,Yes,Thüringen,0.84,3962.558132693227,2.1198427174343515e-4
Germany (insured),24,M,No,Baden-Württemberg,55.88,80514.2691537733,6.940384678059415e-4
Germany (insured),24,M,No,Bayern,61.6,95395.48418200406,6.457328722444974e-4
Germany (insured),24,M,No,Berlin,17.94,26855.476443960153,6.680201722518589e-4
Germany (insured),24,M,No,Brandenburg,12.26,18331.09318451243,6.688089944552912e-4
Germany (insured),24,M,No,Bremen,3.6,4911.42821634502,7.32984346186585e-4
Germany (insured),24,M,No,Hamburg,8.96,13563.066405283202,6.606175721818943e-4
Germany (insured),24,M,No,Hessen,29.82,45590.303323976834,6.540864575541676e-4
Germany (insured),24,M,No,Mecklenburg-Vorpommern,6.88,11569.988083206845,5.94641926207851e-4
Germany (insured),24,M,No,Niedersachsen,38.84,57954.04065714903,6.701862296327879e-4
Germany (insured),24,M,No,Nordrhein-Westfalen,84.74,129160.85643408116,6.560811250368884e-4
Germany (insured),24,M,No,Rheinland-Pfalz,18.88,29639.641333345964,6.369847660322099e-4
Germany (insured),24,M,No,Saarland,4.76,7060.894766410845,6.741355249540955e-4
Germany (insured),24,M,No,Sachsen,20.24,29037.207607328324,6.97036721771135e-4
Germany (insured),24,M,No,Sachsen-Anhalt,9.58,15482.242857806123,6.187733965928444e-4
Germany (insured),24,M,No,Schleswig-Holstein,14.84,21057.850635837178,7.047252949332176e-4
Germany (insured),24,M,No,Thüringen,9.66,15069.612251987646,6.410251198550825e-4
Germany (insured),24,M,Yes,Baden-Württemberg,22.64,29779.250234957246,7.602609139374292e-4
Germany (insured),24,M,Yes,Bayern,26.02,35283.26127279603,7.374601740701857e-4
